Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,CA,California,Santa Clara,06085,06085502101,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.3,,,8.0,8.6,4798,POINT (-121.9361113 37.30594358),06085502101,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502102,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.0,,,8.3,9.6,7469,POINT (-121.9254649 37.31034687),06085502102,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502201,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.7,,,8.4,9.1,6260,POINT (-121.9207389 37.30470611),06085502201,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502202,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,8.2,9.0,2870,POINT (-121.9206768 37.29805402),06085502202,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502301,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,8.0,9.2,3245,POINT (-121.9070506 37.30110616),06085502301,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502302,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.8,,,8.4,9.2,2826,POINT (-121.9083678 37.30833068),06085502302,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.4,,,7.9,8.8,6813,POINT (-121.8927475 37.30461137),06085502400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.1,9.2,6187,POINT (-121.8928345 37.29318608),06085502500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502601,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.0,,,7.5,8.4,2626,POINT (-121.9147029 37.29022662),06085502601,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502603,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.4,,,8.0,8.9,2527,POINT (-121.9272329 37.28758658),06085502603,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502604,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.8,8.3,4320,POINT (-121.9373911 37.28367028),06085502604,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502701,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,8.2,8.9,4874,POINT (-121.9376937 37.27099697),06085502701,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085502702,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.8,8.3,8042,POINT (-121.9426369 37.25814227),06085502702,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
